idx	Load [N]	Left Gap [μm]	Right Gap [μm]
39	-23.52644189349678	16036.835699209376	16100.360613451081
40	-23.8221398928722	16037.16452184901	16098.305193929484
41	-23.803658767601405	16033.876295458274	16096.660858318795
42	-24.043913399345115	16032.889827543471	16096.660858318795
43	-23.87758326893254	16039.795102970536	16101.593865168432
44	-23.581885267574194	16034.862763374193	16102.416032981828
45	-23.674290891862597	16032.889827543471	16103.238200796695
46	-24.080875651002657	16037.822167128645	16101.593865168432
47	-23.54492301814787	16035.849231291228	16098.305193929484
48	-23.711253141867132	16032.889827543471	16094.605438813665
49	-23.8221398928722	16037.16452184901	16097.89411002626
50	-24.043913399345115	16036.835699209376	16101.593865168432
51	-23.84062101818438	16033.547472819882	16101.182781262281
52	-24.154800154813643	16033.547472819882	16100.360613451081
53	-24.006951147852988	16039.13745768941	16104.060368613023
54	-23.8221398928722	16033.876295458274	16106.526872070808
55	-23.72973426693136	16032.232182267553	16105.293620340266
56	-23.8221398928722	16038.150989768652	16098.71627783307
57	-24.025432273578417	16034.20511809679	16094.605438813665
58	-23.87758326893254	16032.56100490545	16098.305193929484
59	-23.84062101818438	16036.835699209376	16099.949529546027
60	-23.896064394368523	16037.16452184901	16099.949529546027
61	-24.006951147852988	16033.876295458274	16100.771697356497
62	-23.933026645364748	16034.53394073543	16101.593865168432
63	-23.785177642371877	16039.13745768941	16100.771697356497
64	-23.84062101818438	16033.218650181614	16102.004949074946
65	-23.896064394368523	16032.889827543471	16101.182781262281
66	-23.87758326893254	16037.822167128645	16101.593865168432
67	-23.61884751716559	16034.862763374193	16101.593865168432
68	-23.61884751716559	16032.232182267553	16100.771697356497
69	-23.8221398928722	16038.808635049034	16100.771697356497
70	-23.87758326893254	16035.191586013081	16101.593865168432
71	-24.062394525153195	16033.876295458274	16098.305193929484
72	-23.98847002216894	16036.50687656987	16099.127361737023
73	-23.933026645364748	16038.479812408781	16100.360613451081
74	-24.1178379028255	16032.56100490545	16097.071942220919
75	-24.080875651002657	16034.862763374193	16098.305193929484
76	-23.933026645364748	16038.479812408781	16099.127361737023
77	-23.72973426693136	16035.191586013081	16099.127361737023
78	-23.74821539203697	16032.232182267553	16099.127361737023
79	-23.933026645364748	16039.13745768941	16099.538445641343
80	-23.61884751716559	16035.849231291228	16099.127361737023
81	-23.72973426693136	16032.889827543471	16098.71627783307
82	-23.674290891862597	16036.835699209376	16098.71627783307
83	-24.191762406967314	16038.150989768652	16101.182781262281
84	-23.84062101818438	16033.876295458274	16100.771697356497
85	-23.87758326893254	16035.52040865209	16100.771697356497
86	-24.080875651002657	16038.479812408781	16100.771697356497
87	-23.896064394368523	16034.20511809679	16102.827116889077
88	-23.692772016844287	16031.90335962978	16099.949529546027
89	-23.711253141867132	16039.13745768941	16096.660858318795
90	-23.674290891862597	16032.56100490545	16098.305193929484
91	-24.1178379028255	16034.20511809679	16107.349039893006
92	-23.96998889652616	16037.16452184901	16101.182781262281
93	-23.85910214353771	16035.52040865209	16100.360613451081
94	-23.914545519846	16033.547472819882	16104.060368613023
95	-24.025432273578417	16035.52040865209	16104.060368613023
96	-23.692772016844287	16038.479812408781	16104.060368613023
97	-23.600366392349315	16033.547472819882	16099.949529546027
98	-23.933026645364748	16033.876295458274	16097.483026123406
99	-23.692772016844287	16039.46628032991	16101.593865168432
100	-23.581885267574194	16033.876295458274	16101.593865168432
101	-23.84062101818438	16032.889827543471	16103.649284704677
102	-23.8221398928722	16037.822167128645	16099.538445641343
103	-23.803658767601405	16034.20511809679	16101.593865168432
104	-23.637328642023363	16033.218650181614	16102.004949074946
105	-23.896064394368523	16036.178053930487	16102.004949074946
106	-23.563404142840454	16038.150989768652	16103.238200796695
107	-24.043913399345115	16033.218650181614	16100.771697356497
108	-23.785177642371877	16036.178053930487	16100.360613451081
109	-23.84062101818438	16038.150989768652	16099.949529546027
110	-23.74821539203697	16034.20511809679	16099.949529546027
111	-23.87758326893254	16033.218650181614	16099.949529546027
112	-23.914545519846	16039.13745768941	16099.127361737023
113	-23.933026645364748	16034.20511809679	16099.949529546027
114	-24.062394525153195	16032.56100490545	16100.360613451081
115	-23.896064394368523	16038.479812408781	16100.360613451081
116	-23.72973426693136	16036.178053930487	16099.949529546027
117	-23.8221398928722	16033.547472819882	16098.305193929484
118	-23.74821539203697	16035.52040865209	16100.360613451081
119	-23.84062101818438	16038.150989768652	16100.771697356497
120	-24.191762406967314	16033.547472819882	16100.771697356497
121	-24.080875651002657	16033.547472819882	16100.360613451081
122	-24.080875651002657	16039.46628032991	16096.660858318795
123	-23.785177642371877	16035.191586013081	16100.771697356497
124	-23.692772016844287	16031.90335962978	16102.004949074946
125	-24.006951147852988	16038.479812408781	16102.416032981828
126	-23.803658767601405	16035.52040865209	16102.004949074946
127	-23.803658767601405	16033.876295458274	16101.593865168432
128	-24.099356776893387	16036.178053930487	16098.71627783307
129	-23.766696517183618	16036.835699209376	16095.427606614618
130	-23.72973426693136	16033.876295458274	16097.483026123406
131	-23.85910214353771	16033.876295458274	16108.171207716665
132	-24.062394525153195	16038.479812408781	16102.416032981828
133	-23.84062101818438	16033.218650181614	16103.238200796695
134	-23.711253141867132	16033.218650181614	16106.937955981724
135	-23.896064394368523	16038.150989768652	16106.115788160263
136	-23.914545519846	16036.178053930487	16102.416032981828
137	-23.8221398928722	16032.56100490545	16096.249774417036
138	-23.8221398928722	16037.493344488767	16100.360613451081
139	-23.489479644318294	16037.493344488767	16101.182781262281
140	-23.692772016844287	16032.56100490545	16098.71627783307
141	-23.692772016844287	16035.52040865209	16101.182781262281
142	-24.006951147852988	16037.16452184901	16101.593865168432
143	-24.080875651002657	16033.547472819882	16101.182781262281
144	-23.84062101818438	16032.889827543471	16101.593865168432
145	-23.65580976692229	16039.13745768941	16100.771697356497
146	-23.72973426693136	16034.53394073543	16100.771697356497
147	-23.85910214353771	16031.245714354603	16100.360613451081
148	-23.72973426693136	16038.808635049034	16100.771697356497
149	-23.674290891862597	16035.849231291228	16100.360613451081
150	-23.914545519846	16034.20511809679	16099.538445641343
151	-23.74821539203697	16036.178053930487	16098.305193929484
152	-23.507960768886846	16038.150989768652	16099.538445641343
153	-23.674290891862597	16034.20511809679	16100.360613451081
154	-23.637328642023363	16034.20511809679	16097.89411002626
155	-23.563404142840454	16039.795102970536	16098.71627783307
156	-23.72973426693136	16034.53394073543	16097.071942220919
157	-23.766696517183618	16032.232182267553	16100.771697356497
158	-23.803658767601405	16038.808635049034	16097.483026123406
159	-23.803658767601405	16035.191586013081	16099.127361737023
160	-23.85910214353771	16033.547472819882	16099.538445641343
161	-24.025432273578417	16036.835699209376	16097.89411002626
162	-23.452517395304994	16036.835699209376	16097.89411002626
163	-23.766696517183618	16033.218650181614	16102.004949074946
164	-23.54492301814787	16034.53394073543	16102.004949074946
165	-23.766696517183618	16038.808635049034	16101.182781262281
166	-23.803658767601405	16033.547472819882	16100.360613451081
167	-23.914545519846	16033.547472819882	16100.771697356497
168	-24.154800154813643	16038.479812408781	16098.71627783307
169	-23.87758326893254	16032.232182267553	16094.194354913736
170	-23.87758326893254	16031.574536992131	16099.949529546027
171	-23.52644189349678	16038.808635049034	16112.282046856993
172	-23.803658767601405	16036.178053930487	16101.593865168432
173	-23.933026645364748	16033.547472819882	16104.060368613023
174	-23.692772016844287	16035.191586013081	16106.115788160263
175	-23.507960768886846	16038.479812408781	16108.582291629049
176	-23.87758326893254	16033.876295458274	16102.004949074946
177	-23.674290891862597	16032.232182267553	16095.016522713959
178	-23.711253141867132	16038.150989768652	16097.89411002626
179	-23.8221398928722	16033.547472819882	16099.127361737023
180	-23.65580976692229	16033.547472819882	16101.182781262281
181	-24.062394525153195	16037.16452184901	16101.593865168432
182	-23.692772016844287	16036.835699209376	16103.649284704677
183	-24.080875651002657	16032.56100490545	16103.238200796695
184	-23.785177642371877	16038.479812408781	16103.238200796695
185	-23.85910214353771	16036.835699209376	16099.127361737023
186	-23.766696517183618	16033.547472819882	16100.360613451081
187	-23.87758326893254	16035.52040865209	16099.949529546027
188	-23.98847002216894	16038.150989768652	16099.538445641343
189	-23.54492301814787	16034.53394073543	16099.538445641343
190	-24.32113029080756	16031.574536992131	16099.949529546027
191	-23.84062101818438	16039.13745768941	16099.538445641343
192	-24.025432273578417	16035.191586013081	16100.771697356497
193	-23.914545519846	16031.574536992131	16099.127361737023
194	-24.1178379028255	16037.822167128645	16099.127361737023
195	-23.72973426693136	16035.849231291228	16099.127361737023
196	-24.043913399345115	16033.218650181614	16099.127361737023
197	-23.951507770924877	16035.191586013081	16099.538445641343
198	-23.72973426693136	16038.808635049034	16099.538445641343
199	-23.96998889652616	16034.862763374193	16099.949529546027
200	-24.1732812808699	16029.930423805741	16096.660858318795
201	-23.896064394368523	16039.795102970536	16097.071942220919
202	-23.84062101818438	16033.547472819882	16098.71627783307
203	-23.766696517183618	16033.547472819882	16103.649284704677
