idx	Load [N]	Left Gap [μm]	Right Gap [μm]
6675	87.4889838950836	24026.99865845013	21447.783497426273
6676	88.2282200345968	24035.54833439817	21444.905856643672
6677	89.3001123458078	24034.561833300155	21446.139131259937
6678	89.33707414772283	24032.588831125337	21444.905856643672
6679	87.82164016421825	24035.54833439817	21444.494765106534
6680	88.63479988945915	24035.219500698047	21443.26149049996
6681	90.02086746009917	24035.877168099076	21440.383849779566
6682	90.11327195841943	24034.890666998705	21442.850398966053
6683	90.94491240743429	24026.99865845013	21440.794941308624
6684	90.85250791628528	24030.615828978775	21441.617124369175
6685	89.72517306011264	24031.602330048525	21442.439307432953
6686	88.4315099639665	24032.588831125337	21442.439307432953
6687	89.09682243298926	24034.890666998705	21441.206032838498
6688	89.50340225475804	24031.273496357822	21442.850398966053
6689	92.05376623920284	24036.534835503247	21436.272934533357
6690	92.60819311221508	24034.561833300155	21436.272934533357
6691	92.5897122169078	24033.246498513803	21436.272934533357
6692	93.10717727353466	24032.917664819175	21434.217476940525
6693	93.14413906234375	24036.863669206512	21440.794941308624
6694	91.42541574858512	24033.57533220921	21439.561666723865
6695	88.13581551996475	24035.54833439817	21439.561666723865
6696	86.56493864841269	24035.54833439817	21437.50620909874
6697	88.50543357368497	24033.904165905413	21435.039659975235
6698	90.98187420367123	24030.944662667906	21434.628568457476
6699	92.77452116855414	24032.25999743228	21436.272934533357
6700	92.23857520004572	24032.917664819175	21437.50620909874
6701	89.85453936111236	24032.25999743228	21437.917300622154
6702	88.4869526713033	24032.588831125337	21434.628568457476
6703	89.3001123458078	24030.615828978775	21430.92874483396
6704	89.87302026112741	24035.877168099076	21432.573110880785
6705	90.16871465702872	24030.944662667906	21430.51765332427
6706	90.63073713427929	24030.615828978775	21437.09511757614
6707	88.8750516145912	24036.20600180077	21430.92874483396
6708	88.69024259573905	24034.890666998705	21436.272934533357
6709	88.9120134179775	24031.93116374001	21435.861843013176
6710	90.8340270179599	24035.219500698047	21437.50620909874
6711	89.65124945883883	24035.54833439817	21436.684026054343
6712	85.19735153557048	24037.85017032101	21438.73948367139
6713	83.31229873855006	24035.219500698047	21438.73948367139
6714	83.38622238400137	24033.57533220921	21439.150575197225
6715	85.17887062743	24032.917664819175	21438.73948367139
6716	88.26518184022524	24033.57533220921	21440.383849779566
6717	89.48492135410424	24032.588831125337	21437.50620909874
6718	88.26518184022524	24034.232999602387	21440.794941308624
6719	86.65734317669865	24037.85017032101	21435.039659975235
6720	86.58341955413425	24034.561833300155	21438.328392146366
6721	85.58545059905953	24032.25999743228	21442.850398966053
6722	85.03102336114296	24035.54833439817	21442.028215900657
6723	85.58545059905953	24033.246498513803	21443.26149049996
6724	86.86063313609543	24035.877168099076	21437.09511757614
6725	88.32062454842736	24036.20600180077	21438.328392146366
6726	88.4869526713033	24037.192502910555	21437.917300622154
6727	87.95100648829543	24035.54833439817	21440.383849779566
6728	88.4869526713033	24036.534835503247	21435.039659975235
6729	87.3780984697267	24035.877168099076	21434.628568457476
6730	87.04544218671447	24033.246498513803	21429.284378800043
6731	86.38012958942596	24033.246498513803	21430.92874483396
6732	86.5094959310548	24029.95816160287	21434.217476940525
6733	89.11530333431449	24033.57533220921	21435.039659975235
6734	92.25705609595548	24034.232999602387	21437.50620909874
6735	92.97781101170591	24031.93116374001	21439.561666723865
6736	91.49933933762304	24030.286995290433	21439.150575197225
6737	87.87708287472964	24031.93116374001	21435.039659975235
6738	85.49304606142522	24032.917664819175	21440.383849779566
6739	86.26924415248783	24038.17900402742	21441.617124369175
6740	86.9899994718665	24037.85017032101	21444.494765106534
6741	89.17074603809823	24036.534835503247	21441.617124369175
6742	89.89150116111057	24032.25999743228	21441.206032838498
6743	89.2077078404609	24035.877168099076	21439.150575197225
6744	88.89353251630041	24032.917664819175	21441.617124369175
6745	88.04341100453098	24033.246498513803	21438.328392146366
6746	87.54442660732855	24035.219500698047	21442.028215900657
6747	88.39454815891492	24031.93116374001	21441.206032838498
6748	88.0249301013481	24030.615828978775	21439.150575197225
6749	88.33910545109728	24030.615828978775	21438.73948367139
6750	90.13175285798764	24028.971660544892	21437.917300622154
6751	90.61225623557169	24032.588831125337	21444.494765106534
6752	89.89150116111057	24031.602330048525	21440.794941308624
6753	90.11327195841943	24034.561833300155	21438.73948367139
6754	92.12768982392083	24036.534835503247	21435.4507514938
6755	91.46237754316763	24035.219500698047	21435.039659975235
6756	87.93252558495215	24035.219500698047	21431.75092785576
6757	83.4231842065322	24038.836671442587	21432.16201936787
6758	83.20141326939921	24038.50783773461	21435.039659975235
6759	85.58545059905953	24034.232999602387	21432.16201936787
6760	88.28366274299128	24035.54833439817	21439.150575197225
6761	91.29604946654456	24032.588831125337	21444.0836735702
6762	88.69024259573905	24035.54833439817	21444.0836735702
6763	86.12139690143283	24032.917664819175	21443.672582034676
6764	82.38825312655047	24032.588831125337	21445.728039720376
6765	80.76193265172611	24033.246498513803	21443.26149049996
6766	81.27939828474956	24029.95816160287	21445.31694818162
6767	82.38825312655047	24035.54833439817	21442.850398966053
6768	81.96319211772425	24031.93116374001	21444.905856643672
6769	79.98573415414779	24038.17900402742	21441.617124369175
6770	77.32448172330976	24032.25999743228	21442.439307432953
6771	77.32448172330976	24035.54833439817	21437.50620909874
6772	78.87687905739693	24035.877168099076	21436.272934533357
6773	81.16851279411367	24031.93116374001	21433.395293909045
6774	83.55255058436802	24038.17900402742	21435.4507514938
6775	83.88520697721856	24033.904165905413	21432.16201936787
6776	83.82976424580653	24032.25999743228	21433.80638542438
6777	86.04747327513167	24032.917664819175	21434.217476940525
6778	87.80315926065032	24032.917664819175	21435.861843013176
6779	86.56493864841269	24036.534835503247	21440.383849779566
6780	82.9057186792806	24035.877168099076	21437.09511757614
6781	79.6900394732188	24038.50783773461	21437.50620909874
6782	80.65104715560364	24037.52133661539	21434.628568457476
6783	84.56900064065911	24033.904165905413	21436.684026054343
6784	87.76619745341816	24037.85017032101	21435.039659975235
6785	88.32062454842736	24038.50783773461	21437.917300622154
6786	87.13784671081811	24031.602330048525	21435.4507514938
6787	86.8791140413021	24030.944662667906	21441.617124369175
6788	89.33707414772283	24029.95816160287	21439.97275825131
6789	94.67805318641234	24032.588831125337	21439.97275825131
6790	99.68637369839752	24038.836671442587	21440.794941308624
6791	99.68637369839752	24038.836671442587	21441.206032838498
6792	93.71704677270128	24036.534835503247	21439.150575197225
6793	87.3780984697267	24037.52133661539	21444.905856643672
6794	83.46014602893331	24040.152006282347	21445.728039720376
6795	80.22598607623092	24039.165505151344	21450.661138248473
6796	74.55234304769942	24035.219500698047	21449.01677205951
6797	76.52980204568388	24035.54833439817	21449.01677205951
6798	81.00218455595655	24029.95816160287	21446.55022280031
6799	87.45202208675983	24030.944662667906	21445.728039720376
6800	92.62667400749052	24037.85017032101	21441.617124369175
6801	94.5856487272631	24038.50783773461	21442.850398966053
6802	93.9018557050452	24032.917664819175	21439.97275825131
6803	92.33097967927733	24031.93116374001	21438.73948367139
6804	89.59580675754813	24027.656325811913	21439.561666723865
6805	85.41912243073659	24029.3004942301	21433.395293909045
6806	81.42724560377002	24029.95816160287	21433.80638542438
6807	80.37383341014896	24040.152006282347	21432.98420239451
6808	82.94268050350024	24034.890666998705	21432.573110880785
6809	85.97354964831476	24035.877168099076	21432.16201936787
6810	87.17480852023454	24030.286995290433	21431.339836344458
6811	87.34113666101734	24037.85017032101	21432.573110880785
6812	83.75584060346978	24038.17900402742	21432.98420239451
6813	82.40673403958698	24040.80967370694	21434.628568457476
6814	83.03508506348084	24034.232999602387	21432.573110880785
6815	84.51355791284243	24038.17900402742	21433.395293909045
6816	86.12139690143283	24034.890666998705	21429.284378800043
6817	86.45405321340712	24030.615828978775	21429.69547030731
6818	86.38012958942596	24027.656325811913	21429.69547030731
6819	84.19938244971104	24028.31399317684	21432.573110880785
6820	81.35332194452087	24027.32749213063	21432.573110880785
6821	79.09865008619187	24026.012157413345	21435.039659975235
6822	77.28751987919111	24029.62932791609	21435.861843013176
6823	76.78853497067888	24029.3004942301	21434.217476940525
6824	78.93232181503879	24035.219500698047	21428.05110428307
6825	83.16445144608906	24034.890666998705	21425.173463771705
6826	87.24873213868159	24035.219500698047	21421.473640315144
6827	89.7436539603512	24034.890666998705	21421.062548824
6828	88.57935718289093	24035.219500698047	21422.295823299846
6829	86.82367132558562	24033.904165905413	21416.12945099314
6830	85.12342790281468	24027.32749213063	21416.540542474613
6831	84.71684791341329	24030.944662667906	21414.485085075303
6832	84.86469518409712	24027.985159493983	21415.71835951247
6833	87.61835022320543	24032.588831125337	21416.95163395689
6834	90.22415735535088	24028.31399317684	21418.184908408562
6835	91.18516408069803	24029.3004942301	21419.41818286749
6836	89.85453936111236	24029.3004942301	21421.062548824
6837	88.70872349776835	24034.232999602387	21421.473640315144
6838	86.527976836873	24036.863669206512	21422.295823299846
6839	85.27127516780934	24032.917664819175	21423.940189278932
6840	85.78874057901521	24036.863669206512	21421.062548824
6841	87.47050299093775	24033.246498513803	21429.69547030731
6842	88.50543357368497	24025.354490059406	21427.22892127579
6843	88.6532807915845	24032.588831125337	21426.406738271737
6844	89.7436539603512	24034.561833300155	21424.351280775714
6845	90.68617983021073	24030.615828978775	21423.52909778295
6846	89.83605846106525	24030.615828978775	21425.99564677092
6847	87.17480852023454	24031.602330048525	21427.22892127579
6848	86.41709140148095	24031.273496357822	21424.351280775714
6849	86.71278589328392	24034.232999602387	21424.762372273308
6850	87.67379293477603	24034.232999602387	21424.762372273308
6851	88.08037281080072	24032.25999743228	21421.062548824
6852	88.59783808511236	24031.602330048525	21422.70691479341
6853	88.09885371388742	24036.863669206512	21421.473640315144
6854	87.15632761554235	24029.95816160287	21417.77381692387
6855	86.1768396208202	24029.3004942301	21415.71835951247
6856	85.78874057901521	24026.99865845013	21409.963078867684
6857	86.04747327513167	24028.31399317684	21407.907621532788
6858	86.97151856685286	24030.286995290433	21405.852164218017
6859	86.97151856685286	24030.286995290433	21405.852164218017
6860	87.59986931928432	24028.971660544892	21409.14089593131
6861	89.13378423560772	24032.917664819175	21409.14089593131
6862	88.9859370243662	24031.93116374001	21410.37417033708
6863	88.61631898730172	24037.85017032101	21412.429627696125
6864	86.62038136548091	24034.232999602387	21413.662902121214
6865	84.32874881801604	24035.219500698047	21416.12945099314
6866	83.75584060346978	24032.588831125337	21417.77381692387
6867	84.27330608893675	24035.219500698047	21415.30726803261
6868	84.90165700144479	24033.246498513803	21416.540542474613
6869	86.54645774265896	24029.62932791609	21420.65145733366
6870	87.71075474232919	24027.985159493983	21414.073993597853
6871	88.61631898730172	24031.273496357822	21415.30726803261
6872	87.89556377816928	24033.904165905413	21414.485085075303
6873	87.71075474232919	24033.904165905413	21412.018536222702
6874	88.11733461694217	24033.904165905413	21410.37417033708
6875	89.63276855844055	24034.561833300155	21409.551987399096
6876	89.4479595527007	24034.890666998705	21405.029981297743
6877	89.61428765801037	24035.877168099076	21407.496530068227
6878	88.59783808511236	24031.93116374001	21405.029981297743
6879	85.88114511406815	24035.877168099076	21402.152341102123
6880	86.08443508834671	24032.588831125337	21402.563432556228
6881	86.12139690143283	24026.012157413345	21405.44107275748
6882	86.45405321340712	24030.286995290433	21401.741249648825
6883	88.33910545109728	24031.602330048525	21405.44107275748
6884	89.17074603809823	24032.25999743228	21400.91906674464
6885	90.98187420367123	24031.602330048525	21403.796706923367
6886	92.33097967927733	24031.602330048525	21402.152341102123
6887	90.74162252585563	24037.192502910555	21406.26325567936
6888	88.39454815891492	24028.971660544892	21410.37417033708
6889	87.71075474232919	24029.3004942301	21406.26325567936
6890	86.26924415248783	24028.642826860472	21407.907621532788
6891	87.19328942489443	24030.286995290433	21408.31871299816
6892	88.3575863537352	24033.246498513803	21411.19635327828
6893	88.4869526713033	24030.944662667906	21408.31871299816
6894	88.11733461694217	24031.93116374001	21411.19635327828
6895	88.13581551996475	24034.890666998705	21408.729804464332
6896	87.71075474232919	24033.57533220921	21409.551987399096
6897	87.59986931928432	24036.20600180077	21408.729804464332
6898	88.33910545109728	24030.944662667906	21406.26325567936
6899	88.83808981107683	24033.57533220921	21409.551987399096
6900	88.76416620366405	24033.57533220921	21402.152341102123
6901	88.94897522123586	24030.615828978775	21403.38561546685
6902	89.61428765801037	24030.615828978775	21403.796706923367
6903	90.07631015918702	24037.192502910555	21405.029981297743
6904	89.85453936111236	24032.588831125337	21405.44107275748
6905	88.69024259573905	24030.286995290433	21404.207798380685
6906	88.54239537835207	24033.246498513803	21403.796706923367
6907	89.13378423560772	24033.246498513803	21400.91906674464
6908	89.50340225475804	24035.219500698047	21398.86360949825
6909	88.44999086644413	24037.192502910555	21399.685792394394
6910	87.45202208675983	24042.12500856556	21402.974524011137
6911	87.04544218671447	24038.50783773461	21405.852164218017
6912	85.34519879953132	24032.588831125337	21408.31871299816
6913	86.08443508834671	24035.54833439817	21407.496530068227
6914	85.5115269690167	24028.31399317684	21411.60744475009
6915	84.42115336583385	24029.62932791609	21409.14089593131
6916	85.93658783471284	24033.246498513803	21413.25181064538
6917	89.13378423560772	24030.286995290433	21411.60744475009
6918	91.90591906824329	24021.408486001674	21412.018536222702
6919	91.57326292615244	24034.561833300155	21411.19635327828
6920	90.07631015918702	24028.971660544892	21412.429627696125
6921	87.80315926065032	24025.683323735982	21414.485085075303
6922	87.35961756538802	24035.877168099076	21412.840719170348
6923	88.94897522123586	24033.246498513803	21412.018536222702
6924	89.7436539603512	24031.93116374001	21411.19635327828
6925	91.25908767138958	24031.602330048525	21408.31871299816
6926	91.33301126157227	24026.012157413345	21409.14089593131
6927	89.79909666087548	24033.246498513803	21409.551987399096
6928	89.39251685035555	24032.25999743228	21416.12945099314
6929	90.29808095266736	24023.381488016425	21409.14089593131
6930	91.18516408069803	24035.54833439817	21407.907621532788
6931	91.86895727518583	24030.944662667906	21409.551987399096
6932	91.14820228516135	24035.54833439817	21407.907621532788
6933	90.59377533683232	24035.877168099076	21411.19635327828
6934	89.31859324678135	24031.93116374001	21407.907621532788
6935	89.35555504863237	24038.836671442587	21412.018536222702
6936	89.54036405596992	24035.54833439817	21412.018536222702
6937	89.15226513686895	24037.85017032101	21410.37417033708
6938	89.70669215984213	24037.192502910555	21410.785261807276
6939	89.68821125953963	24040.152006282347	21413.25181064538
6940	88.3575863537352	24040.480839994252	21412.840719170348
6941	88.74568530173082	24035.219500698047	21414.485085075303
6942	89.41099775116925	24033.57533220921	21412.429627696125
6943	90.8340270179599	24041.796174849726	21411.60744475009
6944	91.18516408069803	24036.20600180077	21412.018536222702
6945	89.63276855844055	24043.111509717775	21411.60744475009
6946	84.73532882236191	24043.111509717775	21412.429627696125
6947	84.69836700443233	24032.917664819175	21413.662902121214
6948	84.95709972722369	24045.742179491597	21409.551987399096
6949	86.04747327513167	24037.85017032101	21404.207798380685
6950	87.21177032952238	24041.138507420415	21406.674347141514
6951	87.39657937403308	24045.084512043424	21405.852164218017
6952	86.28772505872479	24030.286995290433	21407.907621532788
6953	84.7538097312783	24033.904165905413	21409.551987399096
6954	83.73735969280449	24042.12500856556	21409.14089593131
6955	83.47862694008512	24033.57533220921	21412.429627696125
6956	85.41912243073659	24037.52133661539	21411.19635327828
6957	86.71278589328392	24033.246498513803	21409.551987399096
6958	85.3082369837349	24034.232999602387	21410.37417033708
6959	84.73532882236191	24040.80967370694	21407.907621532788
6960	86.25076324621875	24031.273496357822	21409.14089593131
6961	87.4889838950836	24032.917664819175	21412.840719170348
6962	87.50746479919735	24029.62932791609	21411.19635327828
6963	88.15429642295527	24038.50783773461	21412.018536222702
6964	87.3780984697267	24038.836671442587	21407.496530068227
6965	85.104946994545	24032.917664819175	21414.073993597853
6966	84.93861881866303	24038.50783773461	21409.551987399096
6967	85.899626020982	24032.25999743228	21410.785261807276
6968	87.67379293477603	24033.246498513803	21412.840719170348
6969	88.33910545109728	24035.54833439817	21415.30726803261
6970	88.46847176888974	24030.615828978775	21409.14089593131
6971	86.3246868711019	24027.656325811913	21409.551987399096
6972	85.53000787657578	24034.890666998705	21409.551987399096
6973	86.73126679874798	24030.615828978775	21412.018536222702
6974	88.52391447603452	24035.54833439817	21406.674347141514
6975	88.70872349776835	24033.57533220921	21405.852164218017
6976	87.04544218671447	24030.615828978775	21402.974524011137
6977	86.82367132558562	24032.588831125337	21402.152341102123
6978	87.43354118254962	24029.95816160287	21402.152341102123
6979	86.69430498778763	24029.3004942301	21402.974524011137
6980	85.65937422858616	24034.890666998705	21410.37417033708
6981	86.56493864841269	24028.971660544892	21408.729804464332
6982	88.33910545109728	24035.219500698047	21407.907621532788
6983	89.59580675754813	24033.246498513803	21402.563432556228
6984	90.31656185191679	24031.273496357822	21400.91906674464
6985	90.88946971284048	24033.246498513803	21402.563432556228
6986	89.85453936111236	24033.57533220921	21401.33015819633
6987	91.00035510174183	24035.877168099076	21404.61888983881
6988	92.14617072002096	24034.890666998705	21405.44107275748
6989	93.86489391882924	24035.54833439817	21403.796706923367
6990	93.10717727353466	24037.85017032101	21403.38561546685
6991	89.70669215984213	24037.52133661539	21406.674347141514
6992	86.12139690143283	24037.52133661539	21407.08543860447
6993	82.03711577267052	24038.17900402742	21407.08543860447
6994	80.46623799278461	24034.561833300155	21408.729804464332
6995	81.42724560377002	24032.25999743228	21411.19635327828
6996	84.53203882214706	24029.62932791609	21406.674347141514
6997	86.71278589328392	24032.588831125337	21407.907621532788
6998	85.49304606142522	24034.890666998705	21397.219243715615
6999	84.12545880996703	24035.219500698047	21395.985969387082
7000	84.90165700144479	24037.192502910555	21396.397060829124
7001	86.45405321340712	24035.219500698047	21395.574877945844
7002	86.34316777724212	24032.917664819175	21402.152341102123
7003	86.06595418175527	24031.93116374001	21399.685792394394
7004	84.16242062990375	24034.561833300155	21401.33015819633
7005	80.85433723092962	24033.57533220921	21403.796706923367
7006	80.11510057441836	24030.286995290433	21406.674347141514
7007	81.15003187889351	24032.917664819175	21403.38561546685
7008	84.2917869986623	24032.588831125337	21406.26325567936
7009	86.63886227110584	24031.602330048525	21403.796706923367
7010	86.45405321340712	24038.17900402742	21401.741249648825
7011	83.62647422813194	24031.602330048525	21401.741249648825
7012	79.874848649782	24029.62932791609	21401.33015819633
7013	80.09661965733505	24028.971660544892	21401.741249648825
7014	81.20547462445631	24035.54833439817	21399.27470094592
7015	81.68597840703274	24031.602330048525	21408.31871299816
7016	82.9057186792806	24029.3004942301	21398.86360949825
7017	82.92419959140659	24031.93116374001	21397.219243715615
7018	83.84824515630959	24034.890666998705	21403.796706923367
7019	85.38216061519853	24031.93116374001	21400.91906674464
7020	86.1029159949058	24033.57533220921	21398.041426605323
7021	85.16038971925718	24034.890666998705	21402.152341102123
7022	85.58545059905953	24038.17900402742	21400.507975293753
7023	86.43557230746018	24037.52133661539	21397.630335160065
7024	87.19328942489443	24032.25999743228	21395.16378650541
7025	88.11733461694217	24029.95816160287	21395.16378650541
7026	88.37606725634106	24032.917664819175	21400.91906674464
7027	88.67176169367775	24023.710321688293	21395.16378650541
7028	88.63479988945915	24032.25999743228	21402.974524011137
7029	88.15429642295527	24034.232999602387	21407.907621532788
7030	88.81960890927166	24037.52133661539	21403.796706923367
7031	89.37403594950996	24038.50783773461	21404.61888983881
7032	90.05782925952303	24034.561833300155	21404.61888983881
7033	90.40896634768558	24032.588831125337	21400.096883843675
7034	89.37403594950996	24032.588831125337	21399.685792394394
7035	87.26721304321296	24035.219500698047	21400.91906674464
7036	85.17887062743	24035.219500698047	21402.974524011137
7037	84.4950770035054	24034.890666998705	21399.685792394394
7038	86.04747327513167	24033.246498513803	21402.563432556228
7039	88.52391447603452	24029.62932791609	21401.33015819633
7040	88.54239537835207	24037.192502910555	21395.16378650541
7041	87.47050299093775	24033.246498513803	21401.33015819633
7042	86.15835871438986	24029.95816160287	21395.985969387082
7043	84.82773336662024	24033.246498513803	21405.029981297743
7044	84.36571063724023	24034.561833300155	21404.61888983881
7045	83.71887878210674	24031.273496357822	21406.674347141514
7046	81.57509292070279	24033.246498513803	21406.26325567936
7047	81.87078754830833	24034.890666998705	21398.452518051385
7048	82.46217677850171	24035.877168099076	21396.397060829124
7049	83.6819169606141	24031.93116374001	21400.096883843675
7050	84.16242062990375	24038.50783773461	21403.796706923367
7051	83.90368788762453	24032.588831125337	21393.519420751716
7052	84.07001607981886	24034.561833300155	21398.452518051385
7053	85.5115269690167	24035.219500698047	21401.741249648825
7054	87.34113666101734	24032.588831125337	21395.16378650541
7055	87.56290751134594	24035.54833439817	21400.507975293753
7056	85.69633604315572	24034.232999602387	21401.741249648825
7057	84.1439397199515	24031.602330048525	21402.152341102123
7058	83.14597053438536	24031.273496357822	21401.33015819633
7059	84.31026790835529	24030.286995290433	21398.041426605323
7060	85.899626020982	24032.588831125337	21397.630335160065
7061	85.41912243073659	24037.52133661539	21397.630335160065
7062	82.55458134270867	24036.20600180077	21386.11977501919
7063	83.18293235776036	24037.192502910555	21397.630335160065
7064	84.36571063724023	24035.219500698047	21394.752695065785
7065	84.71684791341329	24034.561833300155	21384.886500755736
7066	86.953037661807	24035.54833439817	21399.685792394394
7067	87.13784671081811	24037.52133661539	21387.353049289868
7068	86.1398778079274	24033.57533220921	21385.708683597237
7069	83.92216879799793	24030.615828978775	21400.507975293753
7070	83.94064970833904	24029.3004942301	21386.530866441943
7071	85.9181069278635	24031.602330048525	21384.064317917448
7072	88.17277732591367	24029.3004942301	21396.397060829124
7073	88.24670093742708	24029.62932791609	21393.108329315302
7074	86.3246868711019	24033.904165905413	21398.86360949825
7075	85.53000787657578	24032.588831125337	21398.86360949825
7076	85.86266420712201	24038.17900402742	21398.041426605323
7077	87.17480852023454	24037.52133661539	21404.61888983881
7078	87.32265575661444	24038.17900402742	21404.61888983881
7079	85.4560842461454	24037.52133661539	21412.018536222702
7080	86.02899236847577	24037.192502910555	21401.741249648825
7081	86.67582408225934	24029.95816160287	21407.496530068227
7082	87.32265575661444	24028.31399317684	21411.19635327828
7083	87.23025123411804	24030.286995290433	21394.752695065785
7084	85.80722148609027	24031.602330048525	21414.073993597853
7085	84.21786335956602	24032.25999743228	21410.785261807276
7086	83.53406967334598	24028.971660544892	21411.19635327828
7087	84.31026790835529	24030.286995290433	21433.395293909045
7088	85.21583244367872	24032.588831125337	21414.485085075303
7089	85.23431335175451	24035.219500698047	21416.12945099314
7090	84.53203882214706	24035.219500698047	21428.46219578792
7091	84.36571063724023	24032.25999743228	21408.31871299816
7092	84.73532882236191	24034.561833300155	21414.073993597853
7093	85.32671789164931	24036.863669206512	21412.840719170348
7094	85.08646608624292	24031.93116374001	21402.152341102123
7095	85.27127516780934	24033.57533220921	21408.729804464332
7096	85.40064152298368	24035.54833439817	21409.963078867684
7097	85.9181069278635	24032.25999743228	21403.796706923367
7098	86.02899236847577	24035.54833439817	21408.31871299816
7099	86.21380143358391	24035.219500698047	21408.729804464332
7100	85.65937422858616	24034.232999602387	21401.33015819633
7101	84.23634426938861	24035.219500698047	21400.507975293753
7102	83.1274896226492	24034.561833300155	21399.685792394394
7103	82.5915431681637	24032.917664819175	21403.38561546685
7104	82.72090955623207	24032.588831125337	21398.041426605323
7105	83.09052779907921	24033.246498513803	21402.152341102123
7106	84.31026790835529	24029.62932791609	21400.507975293753
7107	85.04950426954184	24029.3004942301	21394.752695065785
7108	85.4560842461454	24035.219500698047	21399.685792394394
7109	85.12342790281468	24031.93116374001	21393.930512188934
7110	84.2917869986623	24038.50783773461	21398.86360949825
7111	83.64495513899169	24031.93116374001	21402.152341102123
7112	82.68394773123231	24036.20600180077	21396.397060829124
7113	84.55051973141917	24037.192502910555	21401.33015819633
7114	85.62241241388739	24037.192502910555	21398.041426605323
7115	84.51355791284243	24032.917664819175	21398.86360949825
7116	84.99406154424787	24034.232999602387	21400.096883843675
7117	85.43760333845722	24034.890666998705	21399.685792394394
7118	85.77025967190781	24031.93116374001	21400.507975293753
7119	86.41709140148095	24030.286995290433	21401.741249648825
7120	86.21380143358391	24032.588831125337	21398.86360949825
7121	85.23431335175451	24034.890666998705	21399.685792394394
7122	86.47253411932184	24034.890666998705	21400.507975293753
7123	86.38012958942596	24035.877168099076	21404.207798380685
7124	85.43760333845722	24037.85017032101	21400.507975293753
7125	85.3082369837349	24036.20600180077	21397.630335160065
7126	84.19938244971104	24033.57533220921	21408.729804464332
7127	83.25685600412078	24036.863669206512	21402.974524011137
7128	84.32874881801604	24041.138507420415	21408.31871299816
7129	85.21583244367872	24035.219500698047	21402.152341102123
7130	86.2322823399175	24035.219500698047	21405.029981297743
7131	85.19735153557048	24035.877168099076	21407.907621532788
7132	83.82976424580653	24036.20600180077	21407.907621532788
7133	84.93861881866303	24034.890666998705	21406.26325567936
7134	85.67785513588711	24032.588831125337	21402.974524011137
7135	85.32671789164931	24035.219500698047	21403.796706923367
7136	84.62444336818459	24036.20600180077	21407.08543860447
7137	83.38622238400137	24039.823172571225	21405.44107275748
7138	82.51761951712342	24038.50783773461	21405.852164218017
7139	82.77635229348795	24037.52133661539	21405.852164218017
7140	83.01660415154964	24038.50783773461	21403.38561546685
7141	83.94064970833904	24038.50783773461	21403.796706923367
7142	84.47659609413603	24036.534835503247	21404.207798380685
7143	85.69633604315572	24038.17900402742	21403.38561546685
7144	88.41302906145677	24032.917664819175	21406.26325567936
7145	89.41099775116925	24033.904165905413	21405.029981297743
7146	88.50543357368497	24036.534835503247	21407.08543860447
7147	88.19125822884001	24035.219500698047	21403.38561546685
7148	89.65124945883883	24034.232999602387	21401.741249648825
7149	89.18922693929557	24035.877168099076	21403.38561546685
7150	88.46847176888974	24034.232999602387	21408.31871299816
7151	87.91404468157668	24034.890666998705	21401.741249648825
7152	86.97151856685286	24032.588831125337	21406.26325567936
7153	85.38216061519853	24034.561833300155	21403.796706923367
7154	85.69633604315572	24036.863669206512	21408.31871299816
7155	87.52594570327898	24035.219500698047	21407.08543860447
7156	88.3575863537352	24029.3004942301	21408.31871299816
7157	86.82367132558562	24032.588831125337	21409.551987399096
7158	85.27127516780934	24028.31399317684	21404.207798380685
7159	84.27330608893675	24033.904165905413	21408.729804464332
7160	84.62444336818459	24031.93116374001	21406.26325567936
7161	85.47456515380145	24038.50783773461	21405.029981297743
7162	86.04747327513167	24034.232999602387	21403.38561546685
7163	85.53000787657578	24037.85017032101	21403.38561546685
7164	84.23634426938861	24041.467341134678	21401.33015819633
7165	84.1809015398236	24036.534835503247	21405.44107275748
7166	86.34316777724212	24037.192502910555	21405.029981297743
7167	86.953037661807	24036.863669206512	21406.26325567936
7168	86.0105114617877	24034.890666998705	21404.207798380685
7169	85.3636797073811	24031.273496357822	21404.207798380685
7170	86.69430498778763	24032.25999743228	21403.796706923367
7171	86.49101502520438	24028.971660544892	21403.38561546685
7172	86.49101502520438	24032.588831125337	21405.029981297743
7173	86.0105114617877	24035.219500698047	21409.14089593131
7174	85.69633604315572	24034.561833300155	21401.741249648825
7175	86.15835871438986	24032.588831125337	21402.563432556228
7176	86.3062059649294	24031.93116374001	21401.33015819633
7177	86.60190045982358	24035.219500698047	21401.741249648825
7178	85.899626020982	24034.561833300155	21406.26325567936
7179	84.4950770035054	24037.52133661539	21406.674347141514
7180	85.75177876476812	24041.138507420415	21406.674347141514
7181	86.3246868711019	24037.192502910555	21401.741249648825
7182	85.8257023931331	24035.219500698047	21404.61888983881
7183	83.38622238400137	24037.192502910555	21405.44107275748
7184	81.094589133037	24037.52133661539	21405.852164218017
7185	81.83382572031405	24035.219500698047	21406.26325567936
7186	83.49710785120448	24035.219500698047	21407.907621532788
7187	85.56696969159725	24035.877168099076	21406.26325567936
7188	86.3062059649294	24034.561833300155	21405.44107275748
7189	84.8462142753749	24033.904165905413	21402.152341102123
7190	82.2773676476474	24038.17900402742	21404.207798380685
7191	82.42521495259109	24029.62932791609	21404.61888983881
7192	84.66140518637314	24032.588831125337	21403.38561546685
